OTU ID	ExtractionNC	GmGm1	GmGm10	GmGm2	GmGm3	GmGm4	GmGm5	GmGm6	GmGm7	GmGm8	GmGm9	GmZm1	GmZm10	GmZm2	GmZm3	GmZm4	GmZm5	GmZm6	GmZm7	GmZm8	GmZm9	HaZm1	HaZm10	HaZm2	HaZm3	HaZm4	HaZm5	HaZm6	HaZm7	HaZm8	HaZm9	PsZm1	PsZm10	PsZm2	PsZm3	PsZm4	PsZm5	PsZm6	PsZm7	PsZm8	PsZm9	TaGm1	TaGm10	TaGm2	TaGm3	TaGm4	TaGm5	TaGm6	TaGm7	TaGm8	TaGm9	ZmGm1	ZmGm10	ZmGm2	ZmGm3	ZmGm4	ZmGm5	ZmGm6	ZmGm7	ZmGm8	ZmGm9	ZmZm1	ZmZm10	ZmZm2	ZmZm3	ZmZm4	ZmZm5	ZmZm6	ZmZm7	ZmZm8	ZmZm9
OTU_260	0	52	122	7	24	7	8	7	16	45	1	29	13	6	0	11	0	0	17	0	7	0	12	5	0	6	0	1	24	5	0	13	14	7	39	31	0	33	7	0	0	16	35	1	7	4	9	1	5	0	0	0	27	0	8	7	17	2	8	12	60	1	6	0	3	2	2	11	27	0	4
OTU_2600	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2601	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0
OTU_2602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
OTU_2606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
OTU_2607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
