otu_id,size,kingdom,phylum,class,order,family,genus,species,taxa_labels
OTU_417,348,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,,,Hypocreales_fam_Incertae_sedis_sp
OTU_416,347,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Septoglomus,,Septoglomus_sp
OTU_408,341,Fungi,Ascomycota,,,,,,Ascomycota_sp
OTU_449,341,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Ganodermataceae,Ganoderma,,Ganoderma_sp
OTU_560,341,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus_fumigatus,Aspergillus_fumigatus
OTU_409,339,Fungi,,,,,,,Fungi_sp
OTU_455,337,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Dominikia,,Dominikia_sp
OTU_412,335,Fungi,Ascomycota,Sordariomycetes,Sordariales,Podosporaceae,,,Podosporaceae_sp
OTU_420,334,Fungi,,,,,,,Fungi_sp
OTU_648,332,Fungi,Glomeromycota,Glomeromycetes,,,,,Glomeromycetes_sp
OTU_718,330,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,,,Glomeraceae_sp
OTU_511,327,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Dominikia,,Dominikia_sp
OTU_468,325,Fungi,Chytridiomycota,,,,,,Chytridiomycota_sp
OTU_552,325,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,Clavaria,,Clavaria_sp
OTU_672,325,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,,Glomus_sp
OTU_3209,325,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Stachybotryaceae,Achroiostachys,Achroiostachys_levigata,Achroiostachys_levigata
OTU_422,324,Fungi,,,,,,,Fungi_sp
OTU_482,320,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,,Archaeorhizomyces_sp
OTU_430,319,Fungi,,,,,,,Fungi_sp
OTU_411,319,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,,,Glomeraceae_sp
OTU_551,318,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,,,Glomeraceae_sp
OTU_434,316,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Paraphoma,Paraphoma_chrysanthemicola,Paraphoma_chrysanthemicola
OTU_491,315,Fungi,,,,,,,Fungi_sp
OTU_508,312,Fungi,Basidiomycota,Agaricomycetes,Agaricales,,,,Agaricales_sp
OTU_577,310,Fungi,,,,,,,Fungi_sp
OTU_3339,310,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,,,Glomeraceae_sp
OTU_429,310,Fungi,Ascomycota,Leotiomycetes,Helotiales,,,,Helotiales_sp
OTU_424,309,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,,,Glomeraceae_sp
OTU_436,304,Fungi,,,,,,,Fungi_sp
OTU_966,301,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Kamienskia,,Kamienskia_sp
OTU_861,297,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lycoperdaceae,Lycoperdon,,Lycoperdon_sp
OTU_542,296,Fungi,Basidiomycota,,,,,,Basidiomycota_sp
OTU_652,295,Fungi,Basidiomycota,Microbotryomycetes,,,,,Microbotryomycetes_sp
OTU_540,294,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,,,Glomeraceae_sp
OTU_450,293,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,Gliomastix,,Gliomastix_sp
OTU_604,291,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Acremonium,Acremonium_hyalinulum,Acremonium_hyalinulum
